Designator,Mid X,Mid Y,Layer,Rotation
C111,55.649989999999995mm,5.45mm,Bottom,270.0
C123,37.024989999999995mm,31.05mm,Bottom,90.0
C117,35.75749mm,31.05mm,Bottom,90.0
C105,43.24999mm,9.25mm,Bottom,90.0
C100,43.24999mm,6.6775mm,Bottom,270.0
C229,65.45509mm,26.849999999999998mm,Bottom,180.0
C224,66.84998999999999mm,5.0mm,Top,180.0
C223,62.59999mm,5.0mm,Top,180.0
C222,65.54999mm,5.050000000000001mm,Bottom,0.0
C221,62.77719mm,25.2727mm,Top,0.0
C220,62.74999mm,25.1653mm,Bottom,0.0
C225,63.69999mm,20.6501mm,Bottom,0.0
C226,63.69999mm,21.75mm,Bottom,0.0
C227,63.69999mm,23.9001mm,Bottom,0.0
C228,66.45509mm,24.9653mm,Bottom,180.0
C212,63.69999mm,15.850100000000001mm,Bottom,0.0
C213,63.69999mm,16.95mm,Bottom,0.0
C214,63.69999mm,19.1001mm,Bottom,0.0
C215,66.45509mm,20.1444mm,Bottom,180.0
C200,63.69999mm,6.2501mm,Bottom,0.0
C201,63.69999mm,7.35mm,Bottom,0.0
C202,63.69999mm,9.5001mm,Bottom,0.0
C203,66.45509mm,10.5405mm,Bottom,180.0
C195,58.24999mm,18.1001mm,Bottom,0.0
C190,58.399989999999995mm,32.2mm,Bottom,0.0
C185,58.24999mm,11.0mm,Bottom,0.0
C180,58.24999mm,25.2mm,Bottom,0.0
C142,67.44999mm,30.45mm,Bottom,0.0
C141,67.44999mm,29.25mm,Bottom,0.0
C139,67.44999mm,28.0501mm,Bottom,180.0
C135,67.44999mm,26.849999999999998mm,Bottom,0.0
C211,66.45509mm,15.3581mm,Bottom,180.0
C210,63.69999mm,14.3001mm,Bottom,0.0
C209,63.69999mm,12.149999999999999mm,Bottom,0.0
C208,63.69999mm,11.0501mm,Bottom,0.0
C147,50.04129mm,21.8mm,Bottom,270.0
F101,36.85279mm,6.75mm,Bottom,180.0
R134,37.34999mm,16.0mm,Bottom,90.0
R133,36.174989999999994mm,16.0mm,Bottom,90.0
C133,39.45999mm,16.15mm,Bottom,180.0
R131,54.10619mm,22.945999999999998mm,Bottom,270.0
R130,48.924989999999994mm,16.2501mm,Bottom,180.0
R129,52.799989999999994mm,16.2501mm,Bottom,180.0
Y101,41.03259mm,18.5374mm,Bottom,90.0
C116,42.52139mm,19.4786mm,Bottom,270.0
C115,42.50769mm,17.6144mm,Bottom,90.0
C124,51.18109mm,21.8mm,Bottom,90.0
R121,34.67299mm,31.4754mm,Bottom,270.0
R106,36.524989999999995mm,25.3mm,Bottom,90.0
J101,35.799989999999994mm,30.65mm,Top,270.0
C108,39.44999mm,17.75mm,Bottom,90.0
R105,52.068889999999996mm,35.6991mm,Top,90.0
R104,53.258889999999994mm,35.4991mm,Top,90.0
R103,54.36888999999999mm,35.6991mm,Top,90.0
R125,65.92999mm,36.25mm,Top,0.0
C104,34.84999mm,10.100000000000001mm,Bottom,180.0
C137,55.14149mm,17.4452mm,Top,90.0
D101,40.605489999999996mm,6.8795mm,Bottom,270.0
C101,34.67299mm,33.8416mm,Bottom,270.0
R102,42.175489999999996mm,5.6775mm,Bottom,270.0
R101,45.049989999999994mm,16.2501mm,Bottom,0.0
D102,36.049989999999994mm,35.550000000000004mm,Top,180.0
Y102,46.06349mm,21.1938mm,Bottom,180.0
R122,56.24999mm,35.550000000000004mm,Bottom,90.0
R123,58.27409mm,33.2598mm,Bottom,0.0
R127,40.34999mm,21.349999999999998mm,Bottom,270.0
R128,54.10619mm,25.0278mm,Bottom,270.0
D106,41.48509mm,13.7031mm,Top,270.0
D105,43.28509mm,13.7031mm,Top,270.0
D107,37.76049mm,19.855mm,Bottom,270.0
D104,45.085089999999994mm,13.7031mm,Top,270.0
D103,46.88509mm,13.7031mm,Top,270.0
C140,41.44999mm,21.349999999999998mm,Bottom,90.0
C132,45.074889999999996mm,18.9175mm,Bottom,180.0
C136,47.15008999999999mm,18.9175mm,Bottom,0.0
C127,54.10619mm,29.55mm,Bottom,90.0
C138,38.07778999999999mm,5.0839mm,Bottom,180.0
C130,52.19649mm,19.5675mm,Bottom,90.0
C131,55.24999mm,29.55mm,Bottom,90.0
C122,50.04129mm,19.5675mm,Bottom,270.0
C114,40.24999mm,35.4183mm,Top,90.0
C103,34.84999mm,9.05mm,Bottom,180.0
C113,39.049989999999994mm,35.4183mm,Top,270.0
C102,42.175489999999996mm,9.25mm,Bottom,270.0
U105,46.19999mm,24.9594mm,Top,0.0
C771,18.7125mm,32.55mm,Top,90.0
C772,13.8125mm,33.25mm,Top,0.0
C773,13.8125mm,31.902094999999996mm,Top,0.0
D771,16.9125mm,30.049999999999997mm,Top,0.0
R771,23.3125mm,36.25mm,Top,0.0
R772,25.2125mm,32.449999999999996mm,Top,90.0
R773,21.6125mm,33.849999999999994mm,Top,0.0
R774,21.6125mm,31.349999999999998mm,Top,0.0
R775,17.4125mm,32.55mm,Top,90.0
R776,13.8125mm,30.099999999999998mm,Top,0.0
R777,15.9125mm,32.55mm,Top,90.0
U771,16.0125mm,35.75mm,Top,180.0
R428,27.359399mm,9.329499mm,Bottom,90.0
R427,14.224999mm,7.974999mm,Bottom,0.0
R426,25.750799mm,8.334899mm,Top,270.0
R425,24.442698999999998mm,15.449999mm,Top,90.0
R424,24.442698999999998mm,17.747099mm,Top,270.0
LED4,12.683099mm,7.086099mm,Top,270.0
LED3,25.750799mm,10.484199mm,Top,90.0
LED2,25.524099mm,15.474999mm,Top,90.0
LED1,25.524099mm,17.722099mm,Top,270.0
R422,18.533399mm,6.974999mm,Bottom,180.0
C426,24.764999mm,12.374999mm,Top,0.0
C425,22.074999mm,12.374999mm,Top,180.0
F410,19.231999000000002mm,20.641799mm,Top,0.0
